Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Throughput,EBS Optimized: Max 16K IOPS,EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost,Storage,Burstable,Model Type,Category,StorageType
General Purpose GPU Extra Large,p2.xlarge,61,12,4,1,0,3,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,High,750.0 Mbps,93.75 MB/s,6000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,NA,NA,0.96,0.674,NA,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,NA,FALSE,P2,Accelerated,EBS
C5 High-CPU 24xlarge,c5.24xlarge,192,375,96,0,0,3.906,Intel Xeon Platinum 8275L,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,No,4.848,3.334,4.21,2.7,4.18,2.603,9.264,7.75,10.118,8.609,20.016,18.506,44.496,42.986,5.702,4.193,15.6,14.09,40.08,38.57,NA,NA,NA,FALSE,C5,Compute,EBS
A1 Quadruple Extra Large,a1.4xlarge,32,0,16,0,0,0,AWS Graviton Processor,2.3 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.538,0.387,0.558,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,A1,General,EBS
C5N Quadruple Extra Large,c5n.4xlarge,42,0,16,0,0,0,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,0.994,0.674,1.014,0.604,NA,NA,1.87,1.551,3.52,3.2,7.6,7.28,1.134,0.815,2.784,2.464,6.864,6.544,NA,0.216,NA,FALSE,C5N,Compute,EBS
T3A Nano,t3a.nano,0.5,NA,2,0,0,NA,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Low,1536.0 Mbps,192.0 MB/s,11800.0 IOPS,Yes,4,2,Yes,Yes,Yes,No,Unknown,No,NA,NA,NA,NA,0.0047,0.0069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,T3A,General,EBS
C5 High-CPU Metal,c5.metal,192,375,96,0,0,3.906,Intel Xeon Platinum 8275L,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,No,4.848,3.334,4.21,2.7,4.18,2.603,9.264,7.75,10.118,8.609,20.016,18.506,44.496,42.986,5.702,4.193,15.6,14.09,40.08,38.57,NA,NA,NA,FALSE,C5,Compute,EBS
M5A Large,m5a.large,8,0,2,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.146,0.115,0.149,0.08,NA,NA,0.246,0.214,0.658,0.627,NA,NA,0.154,0.122,0.566,0.535,NA,NA,NA,NA,NA,FALSE,M5A,General,EBS
M4 General Purpose Deca Extra Large,m4.10xlarge,160,124.5,40,0,0,3.112,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,10 Gigabit,4000.0 Mbps,500.0 MB/s,32000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,2.32,1.575,2.13,1.369,2.1,1.272,4.16,3.415,4.582,3.449,8.64,7.879,18.84,18.079,2.676,1.915,6.8,6.039,NA,16.239,0,0.27,NA,FALSE,M4,General,EBS
H1 Double Extra Large,h1.2xlarge,32,26,8,0,0,3.25,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,2000 GiB               HDD,Yes,N/A,64-bit,Up to 10 Gigabit,1750.0 Mbps,218.75 MB/s,12000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,NA,NA,0.598,0.448,0.568,0.351,NA,NA,0.971,0.821,1.796,1.646,3.836,3.686,0.603,0.453,1.428,1.278,3.468,3.318,NA,0.117,2000,FALSE,H1,Storage,HDD
P3 Double Extra Large,p3.2xlarge,61,26,8,1,0,3.25,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,1750.0 Mbps,218.0 MB/s,10000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,3.589,2.449,3.19,2.218,3.16,2.121,3.957,2.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,FALSE,P3,Accelerated,EBS
T3 Nano,t3.nano,0.5,NA,2,0,0,NA,Intel Skylake E5 2686 v5 (2.5 GHz),unknown,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,Low,1536.0 Mbps,192.0 MB/s,11800.0 IOPS,Yes,4,2,No,Yes,Yes,No,Unknown,No,0.0059,0.0042,NA,NA,0.0052,0.0073,0.0105,0.0088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,T3,General,EBS
M3 General Purpose Large,m3.large,7.5,6.5,2,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,Yes,unknown,Yes,32 GiB               SSD,No,No,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,30,3,No,No,No,No,"HVM, PV",No,NA,NA,0.193,0.155,0.233,0.128,NA,NA,0.367,0.239,0.704,0.442,NA,NA,0.202,0.154,0.614,0.566,NA,NA,NA,NA,32,FALSE,M3,General,SSD
