,instance,score,cpu,type,provider,price,value,type,filter
213,c5.2xlarge,0.7258828422580001,[8],['CPU'],['aws'],0.34,2.1349495360529414,vod,house
214,n1-standard-2,0.483285500911,[2],['General'],['google'],0.095,5.0872157990631575,vod,house
215,m5.xlarge,0.649561351505,[4],['General'],['aws'],0.192,3.383132039088542,vod,house
216,m5.2xlarge,0.6939488503679999,[8],['General'],['aws'],0.384,1.8071584644999998,vod,house
217,c5.xlarge,0.7351357998089999,[4],['CPU'],['aws'],0.17,4.324328234170587,vod,house
218,n1-standard-2,0.48209765665300003,[2],['General'],['google'],0.095,5.074712175294737,vod,house
219,c5.2xlarge,0.7248581110149999,[8],['CPU'],['aws'],0.34,2.1319356206323525,vod,house
220,r5.2xlarge,0.657016862864,[8],['Memory'],['aws'],0.504,1.3036048866349206,vod,house
221,m5.xlarge,0.651321960935,[4],['General'],['aws'],0.192,3.392301879869792,vod,house
222,m5.2xlarge,0.678426449679,[8],['General'],['aws'],0.384,1.7667355460390626,vod,house
223,n1-standard-2,0.4841881042219999,[2],['General'],['google'],0.095,5.096716886547368,vod,house
224,c5.xlarge,0.734419878483,[4],['CPU'],['aws'],0.17,4.320116932252941,vod,house
225,c5.2xlarge,0.727833224719,[8],['CPU'],['aws'],0.34,2.1406859550558823,vod,house
226,m5.xlarge,0.654193819405,[4],['General'],['aws'],0.192,3.407259476067708,vod,house
227,m5.2xlarge,0.66545834457,[8],['General'],['aws'],0.384,1.7329644389843748,vod,house
228,c5.xlarge,0.754737540906,[4],['CPU'],['aws'],0.17,4.439632593564705,vod,house
229,c5.2xlarge,0.7430720189049999,[8],['CPU'],['aws'],0.34,2.185505937955882,vod,house
230,m5.xlarge,0.6546893112830001,[4],['General'],['aws'],0.192,3.409840162932292,vod,house
231,c5.xlarge,0.7411956550090002,[4],['CPU'],['aws'],0.17,4.359974441229412,vod,house
232,m5.2xlarge,0.66549913349,[8],['General'],['aws'],0.384,1.7330706601302084,vod,house
233,c5.2xlarge,0.745416006504,[8],['CPU'],['aws'],0.34,2.1924000191294115,vod,house
234,m5.xlarge,0.6520389136430002,[4],['General'],['aws'],0.192,3.3960360085572923,vod,house
235,c5.xlarge,0.7459334421030003,[4],['CPU'],['aws'],0.17,4.387843777076472,vod,house
236,m5.2xlarge,0.665190666722,[8],['General'],['aws'],0.384,1.7322673612552082,vod,house
237,n1-highmem-2,0.477061123611,[2],['Memory'],['google'],0.1184,4.029232462930743,vod,house
238,n1-highmem-2,0.48215018511999996,[2],['Memory'],['google'],0.1184,4.072214401351351,vod,house
239,n1-highmem-2,0.49421749649300006,[2],['Memory'],['google'],0.1184,4.174134260920608,vod,house
240,n1-highmem-2,0.48895698711900004,[2],['Memory'],['google'],0.1184,4.129704283099662,vod,house
241,n1-highmem-2,0.490235707002,[2],['Memory'],['google'],0.1184,4.140504282111486,vod,house
242,n1-highmem-2,0.491561397104,[2],['Memory'],['google'],0.1184,4.151700989054054,vod,house
243,n1-highmem-2,0.48759308735600015,[2],['Memory'],['google'],0.1184,4.118184859425677,vod,house
244,n1-highmem-2,0.492568719203,[2],['Memory'],['google'],0.1184,4.160208777052365,vod,house
245,n1-highmem-2,0.4810529857499999,[2],['Memory'],['google'],0.1184,4.062947514780404,vod,house
246,n1-highmem-2,0.481542323564,[2],['Memory'],['google'],0.1184,4.067080435506757,vod,house
247,n1-highmem-2,0.49484832947,[2],['Memory'],['google'],0.1184,4.17946224214527,vod,house
248,n1-highmem-2,0.4904710946060001,[2],['Memory'],['google'],0.1184,4.1424923530912166,vod,house
249,n1-highmem-2,0.490885841571,[2],['Memory'],['google'],0.1184,4.145995283538851,vod,house
250,n1-highmem-2,0.4837950489049999,[2],['Memory'],['google'],0.1184,4.086106831967904,vod,house
251,n1-highmem-2,0.479489205048,[2],['Memory'],['google'],0.1184,4.0497399075,vod,house
252,n1-highmem-2,0.48064807643300006,[2],['Memory'],['google'],0.1184,4.059527672576014,vod,house
253,n1-highmem-2,0.48962732261999997,[2],['Memory'],['google'],0.1184,4.1353659005067565,vod,house
254,n1-highmem-2,0.484212798064,[2],['Memory'],['google'],0.1184,4.089635118783784,vod,house
255,n1-highmem-2,0.4795803155390001,[2],['Memory'],['google'],0.1184,4.050509421782095,vod,house
256,n1-highmem-2,0.483082999858,[2],['Memory'],['google'],0.1184,4.080092904206081,vod,house
